species,individual,PARi,Photo,Cond,Ci,Trmmol
dip_dig,5,200,1.246052125,0.017543954,272.859384,0.403710126
dip_dig,5,250,1.342344054,0.01803542,267.5848273,0.407452196
dip_dig,5,300,1.499548488,0.017236366,247.4814015,0.384618692
dip_dig,5,350,1.616564023,0.016988778,234.5569449,0.376401286
dip_dig,5,400,1.617158208,0.017924903,242.4986824,0.390954267
dip_dig,5,500,1.778949074,0.017438966,223.8009042,0.375627979
dip_dig,5,600,1.731789875,0.017891934,232.0794669,0.380775798
dip_dig,5,700,1.539867791,0.017645718,247.4539766,0.372326685
dry_int,1,0.393173665,-0.666061208,0.045832519,416.0008708,0.473113596
dry_int,1,5.187572002,-0.349396189,0.044920715,404.8273351,0.45829126
dry_int,1,10.73276806,-0.079835677,0.046357416,394.7261672,0.472871633
dry_int,1,15.34359837,0.186667033,0.047977859,385.4528853,0.489003915
dry_int,1,25.20709801,0.638266932,0.049904817,370.5089872,0.509430431
dry_int,1,48.6800499,1.536031828,0.05210406,342.3108822,0.535021253
dry_int,1,100.5209961,2.515611399,0.054336585,313.6395977,0.55770506
dry_int,1,199.5203857,3.336080212,0.054880225,289.2231957,0.571698895
dry_int,1,251.0835571,3.385796254,0.055591115,288.8927239,0.580422106
dry_int,1,300.4701538,3.598847241,0.055904612,283.1090261,0.586992755
dry_int,1,400.2998657,3.686410261,0.056878041,282.0765503,0.606358386
dry_int,1,499.0457153,3.791570556,0.058139388,281.1060661,0.63170468
dry_int,1,599.8574829,3.793370563,0.05915964,282.7711593,0.649810333
dry_int,1,700.0244751,3.749068838,0.060018505,285.4872631,0.666182458
dry_int,2,0.182531595,-0.691936224,0.054395205,416.1273526,0.477186994
dry_int,2,5.157427788,-0.367416105,0.053870071,406.1985223,0.465644577
dry_int,2,10.74208069,-0.024370321,0.054418697,395.3229478,0.470510369
dry_int,2,15.31351948,0.477011,0.054877332,379.7632168,0.475512158
dry_int,2,25.45558357,1.054235821,0.05691682,362.6766607,0.49690835
dry_int,2,48.83255005,1.602286135,0.056904361,345.6509911,0.507200864
dry_int,2,100.6356888,2.627119641,0.05620376,313.8005202,0.529537877
dry_int,2,199.7768555,3.179277417,0.058882831,301.0897292,0.54684168
dry_int,2,249.2630615,3.235339159,0.060117813,301.3340725,0.558308778
dry_int,2,298.8852539,3.347941167,0.058644638,295.7620419,0.559628458
dry_int,2,400.6827393,3.455705882,0.058810967,292.6453037,0.584328397
dry_int,2,499.1255188,3.310237998,0.058630628,296.3622449,0.603068515
dry_int,2,599.699585,3.499156683,0.057839894,289.483002,0.603722967
dry_int,3,0.437741637,-0.442405894,0.064012885,403.5005233,0.784226915
dry_int,3,5.159628391,-0.046278827,0.063911083,393.1388579,0.769058514
dry_int,3,10.69741917,0.275386747,0.064131507,383.363917,0.743766695
dry_int,3,14.9911747,0.538913998,0.065690544,376.5946296,0.772457261
dry_int,3,24.85129356,1.072980689,0.068001708,363.7428421,0.780640522
dry_int,3,49.86879349,2.159439004,0.070108663,337.8134008,0.81856257
dry_int,3,100.6937866,3.392427433,0.074812364,312.474149,0.860580972
dry_int,3,199.8331451,4.129225014,0.076099653,296.8112203,0.889464609
dry_int,3,250.7650757,4.349486922,0.078337137,294.4592525,0.912598605
dry_int,3,299.118866,4.469034253,0.079782858,293.5305534,0.934942372
dry_int,3,399.5470276,4.688804314,0.080998732,290.233392,0.953332543
dry_int,3,500.8587036,4.811647611,0.082394139,289.2062308,0.981685709
dry_int,3,599.3043213,4.859561453,0.084445222,290.3190158,1.029288633
dry_int,3,699.104248,4.930326112,0.085515242,289.9063463,1.066010106
dry_int,4,0.347156018,-0.671185119,0.058176693,410.7381712,0.804596762
dry_int,4,6.244008064,-0.190601099,0.059360068,396.6611547,0.795849166
dry_int,4,10.27011871,0.000170111,0.059877131,391.2471841,0.808896843
dry_int,4,14.79284954,0.18932303,0.061520712,386.0645931,0.843930928
dry_int,4,24.47014809,0.596244368,0.063582069,375.5423149,0.844486115
dry_int,4,50.73262787,1.523332193,0.064623254,350.9436194,0.874512148
dry_int,4,99.5952301,2.542023855,0.06526684,323.3068084,0.88750923
dry_int,4,200.8213959,3.341419644,0.066916256,302.5739951,0.921306251
dry_int,4,249.2426147,3.680463801,0.068642065,296.2519981,0.935448938
dry_int,4,300.0449829,3.739112943,0.070408588,296.86481,0.967409007
dry_int,4,399.7716675,4.02870753,0.071176213,290.74818,0.992383208
dry_int,4,500.2941895,4.107385448,0.071716187,289.4596273,1.02335238
dry_int,4,600.4239502,4.170323677,0.072361256,288.7053377,1.046639519
dry_int,4,700.2365723,4.22908351,0.072836188,287.9619715,1.068646096
dry_int,5,0.570140898,-0.753839785,0.041060917,419.4171558,0.679887426
